         1464358 function calls (1453385 primitive calls) in 16.138 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1640(_fill_cache)
       27    0.000    0.000    0.001    0.000 times.py:175(_unpack_netcdf_time_units)
        7    0.000    0.000    0.001    0.000 formatting.py:55(_get_indexer_at_least_n_items)
        1    0.000    0.000    0.001    0.001 times.py:662(_division)
        1    0.000    0.000    0.001    0.001 itertoolz.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _base.py:1(<module>)
       13    0.000    0.000    0.001    0.000 tokenize.py:151(normalize_seq)
     1171    0.001    0.000    0.001    0.000 function_base.py:348(iterable)
        5    0.000    0.000    0.001    0.000 core.py:835(reduce)
      132    0.000    0.000    0.001    0.000 core.py:516(_check_shape)
        7    0.000    0.000    0.001    0.000 dataclasses.py:661(_cmp_fn)
      479    0.000    0.000    0.001    0.000 variables.py:175(unpack_for_decoding)
       14    0.000    0.000    0.001    0.000 __init__.py:695(mtime)
      892    0.001    0.000    0.001    0.000 contextlib.py:104(__init__)
      474    0.001    0.000    0.001    0.000 threading.py:281(__exit__)
     3603    0.001    0.000    0.001    0.000 {method 'indices' of 'slice' objects}
      845    0.000    0.000    0.001    0.000 indexing.py:1489(shape)
       45    0.000    0.000    0.001    0.000 variable.py:633(_validate_indexers)
      339    0.000    0.000    0.001    0.000 indexes.py:420(_maybe_cast_to_cftimeindex)
       26    0.000    0.000    0.001    0.000 datetimes.py:2184(_sequence_to_dt64)
        1    0.001    0.001    0.001    0.001 base.py:3955(_get_indexer)
     4842    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.001    0.000 pydevd_net_command.py:58(__init__)
      187    0.000    0.000    0.001    0.000 base.py:773(_view)
      181    0.000    0.000    0.001    0.000 locks.py:233(__exit__)
       21    0.000    0.000    0.001    0.000 common.py:36(_normalize_path)
       52    0.000    0.000    0.001    0.000 base.py:7593(ensure_index)
     3943    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      158    0.000    0.000    0.001    0.000 common.py:2067(is_np_datetime_like)
       20    0.000    0.000    0.001    0.000 base.py:1809(set_names)
        1    0.000    0.000    0.001    0.001 order.py:1(<module>)
       16    0.000    0.000    0.001    0.000 managers.py:1782(_consolidate_inplace)
        6    0.000    0.000    0.001    0.000 construction.py:596(_homogenize)
       18    0.000    0.000    0.001    0.000 timedeltas.py:241(_from_sequence_not_strict)
        4    0.000    0.000    0.001    0.000 indexes.py:670(concat)
       10    0.000    0.000    0.001    0.000 common.py:279(__getattr__)
        1    0.001    0.001    0.001    0.001 take.py:353(wrapper)
       36    0.001    0.000    0.001    0.000 timedeltas.py:226(_coerce_scalar_to_timedelta_type)
      232    0.000    0.000    0.001    0.000 indexing.py:686(__init__)
      152    0.000    0.000    0.001    0.000 base.py:782(_rename)
        3    0.000    0.000    0.001    0.000 file_manager.py:236(__del__)
      128    0.000    0.000    0.001    0.000 ntpath.py:268(basename)
       72    0.000    0.000    0.001    0.000 indexing.py:1486(get_duck_array)
      290    0.000    0.000    0.001    0.000 __init__.py:109(read)
        1    0.001    0.001    0.001    0.001 cloudpickle.py:1(<module>)
     1677    0.001    0.000    0.001    0.000 generic.py:37(_check)
       14    0.000    0.000    0.001    0.000 indexing.py:489(__getitem__)
      100    0.000    0.000    0.001    0.000 {built-in method _pickle.dumps}
        1    0.001    0.001    0.001    0.001 {method 'sort' of 'numpy.ndarray' objects}
      122    0.000    0.000    0.001    0.000 ntpath.py:257(splitext)
        9    0.000    0.000    0.001    0.000 base.py:674(_with_infer)
     1995    0.001    0.000    0.001    0.000 variable.py:164(_maybe_wrap_data)
       88    0.000    0.000    0.001    0.000 dataset.py:1081(_replace)
      135    0.000    0.000    0.001    0.000 ntpath.py:236(split)
      122    0.000    0.000    0.001    0.000 pathlib.py:712(joinpath)
       12    0.001    0.000    0.001    0.000 variables.py:416(encode)
        2    0.001    0.000    0.001    0.000 core.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _signatures.py:1(<module>)
      181    0.001    0.000    0.001    0.000 utils.py:451(_out_array_shape)
       48    0.001    0.000    0.001    0.000 posixpath.py:71(join)
      312    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
        7    0.000    0.000    0.001    0.000 dataclasses.py:627(_repr_fn)
        7    0.000    0.000    0.001    0.000 base.py:2313(is_unique)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1286(create_module)
     1425    0.001    0.000    0.001    0.000 reader.py:99(forward)
       41    0.000    0.000    0.001    0.000 indexing.py:237(_expand_slice)
     3739    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.001    0.001 distributed.py:1(<module>)
      179    0.000    0.000    0.001    0.000 common.py:2092(contains_cftime_datetimes)
       20    0.000    0.000    0.001    0.000 merge.py:370(collect_from_coordinates)
      142    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
        2    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
      358    0.000    0.000    0.001    0.000 missing.py:184(_isna)
        1    0.000    0.000    0.001    0.001 c_parser_wrapper.py:60(__init__)
      439    0.000    0.000    0.001    0.000 netCDF4_.py:178(_nc4_require_group)
       11    0.000    0.000    0.001    0.000 file_manager.py:82(__init__)
        1    0.000    0.000    0.001    0.001 system.py:1(<module>)
        4    0.000    0.000    0.001    0.000 concat.py:295(_calc_concat_over)
        1    0.000    0.000    0.001    0.001 config.py:527(refresh)
      342    0.000    0.000    0.001    0.000 fromnumeric.py:1768(ravel)
        2    0.000    0.000    0.001    0.000 common.py:1165(_is_binary_mode)
      122    0.000    0.000    0.001    0.000 _functools.py:99(wrapper)
       25    0.001    0.000    0.001    0.000 utils.py:429(<lambda>)
       10    0.000    0.000    0.001    0.000 base.py:1296(__deepcopy__)
       10    0.000    0.000    0.001    0.000 netCDF4_.py:466(get_attrs)
       76    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1584(_get_spec)
        1    0.000    0.000    0.001    0.001 widgets.py:1(<module>)
       20    0.000    0.000    0.001    0.000 dataarray.py:557(_to_temp_dataset)
        1    0.000    0.000    0.001    0.001 constructor.py:54(construct_document)
       25    0.001    0.000    0.001    0.000 series.py:734(name)
      215    0.000    0.000    0.001    0.000 common.py:1571(validate_all_hashable)
      122    0.000    0.000    0.001    0.000 pathlib.py:380(with_segments)
       36    0.000    0.000    0.001    0.000 algorithms.py:106(_ensure_data)
     5413    0.001    0.000    0.001    0.000 core.py:478(dims)
       84    0.001    0.000    0.001    0.000 pydevd_daemon_thread.py:36(py_db)
        1    0.000    0.000    0.001    0.001 representer.py:1(<module>)
      129    0.001    0.000    0.001    0.000 std.py:400(format_interval)
        1    0.000    0.000    0.001    0.001 composer.py:99(compose_sequence_node)
        4    0.000    0.000    0.001    0.000 concat.py:415(_parse_datasets)
       27    0.000    0.000    0.001    0.000 blocks.py:790(copy)
     1062    0.000    0.000    0.001    0.000 indexing.py:709(as_indexable)
       47    0.001    0.000    0.001    0.000 inference.py:273(is_dict_like)
     4457    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       82    0.000    0.000    0.001    0.000 coordinates.py:77(xindexes)
       50    0.000    0.000    0.001    0.000 variable.py:514(to_base_variable)
       20    0.000    0.000    0.001    0.000 dataarray.py:600(_to_dataset_whole)
       83    0.000    0.000    0.001    0.000 std.py:102(acquire)
       17    0.000    0.000    0.001    0.000 typing.py:1846(__instancecheck__)
     1596    0.001    0.000    0.001    0.000 variable.py:850(encoding)
     5096    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      179    0.000    0.000    0.001    0.000 common.py:2077(_contains_cftime_datetimes)
       42    0.000    0.000    0.001    0.000 utils.py:641(is_remote_uri)
       18    0.000    0.000    0.001    0.000 indexes.py:1764(<genexpr>)
      122    0.000    0.000    0.001    0.000 genericpath.py:133(_splitext)
      150    0.000    0.000    0.001    0.000 hashing.py:94(hash_buffer_hex)
       20    0.000    0.000    0.001    0.000 computation.py:530(<genexpr>)
       11    0.000    0.000    0.001    0.000 typing.py:371(inner)
       62    0.000    0.000    0.001    0.000 datetimelike.py:2425(ensure_arraylike_for_datetimelike)
        5    0.001    0.000    0.001    0.000 utils.py:297(_screen_shape_windows)
       54    0.000    0.000    0.001    0.000 __init__.py:164(match)
      304    0.000    0.000    0.001    0.000 indexes.py:1474(_id_index)
       19    0.000    0.000    0.001    0.000 merge.py:494(_get_priority_vars_and_indexes)
        1    0.000    0.000    0.001    0.001 tokens.py:1(<module>)
      258    0.000    0.000    0.001    0.000 inspect.py:3015(__init__)
       83    0.000    0.000    0.001    0.000 std.py:106(release)
        1    0.000    0.000    0.001    0.001 common.py:1186(_get_binary_io_classes)
      168    0.000    0.000    0.001    0.000 indexes.py:1480(_id_coord_names)
       12    0.000    0.000    0.001    0.000 utils.py:958(broadcasted_shape)
      637    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      209    0.000    0.000    0.001    0.000 _signatures.py:598(num_pos_args)
     1164    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       18    0.000    0.000    0.001    0.000 coordinates.py:727(variables)
       80    0.000    0.000    0.001    0.000 pydevd_comm.py:438(empty)
       75    0.001    0.000    0.001    0.000 base.py:974(dtype)
      157    0.000    0.000    0.001    0.000 variables.py:219(_is_time_like)
        1    0.000    0.000    0.001    0.001 _optional.py:85(import_optional_dependency)
       36    0.000    0.000    0.001    0.000 frame.py:4608(_box_col_values)
       13    0.000    0.000    0.001    0.000 api.py:1304(<genexpr>)
      240    0.000    0.000    0.001    0.000 _signatures.py:605(get_exclude_keywords)
      122    0.000    0.000    0.001    0.000 __init__.py:757(normalize)
    30/16    0.000    0.000    0.001    0.000 constructor.py:410(construct_yaml_map)
        4    0.000    0.000    0.001    0.000 indexes.py:648(_concat_indexes)
       26    0.001    0.000    0.001    0.000 function_base.py:1324(diff)
       18    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       12    0.000    0.000    0.001    0.000 base.py:842(_engine)
       58    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
      192    0.000    0.000    0.001    0.000 common.py:1375(_is_dtype)
      301    0.000    0.000    0.001    0.000 common.py:1434(_is_dtype_type)
        8    0.000    0.000    0.001    0.000 parser.py:381(parse_block_sequence_entry)
     1947    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
       76    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:801(spec_from_file_location)
       15    0.000    0.000    0.001    0.000 constructor.py:215(construct_mapping)
      199    0.000    0.000    0.001    0.000 base.py:7688(maybe_extract_name)
       30    0.000    0.000    0.001    0.000 variable.py:1246(transpose)
       42    0.000    0.000    0.001    0.000 __init__.py:174(search)
      340    0.000    0.000    0.001    0.000 copy.py:252(<genexpr>)
     2309    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 queues.py:1(<module>)
       50    0.000    0.000    0.001    0.000 cloudpickle.py:1290(reducer_override)
     4415    0.001    0.000    0.001    0.000 indexing.py:309(tuple)
      181    0.000    0.000    0.001    0.000 locks.py:229(__enter__)
     1358    0.000    0.000    0.001    0.000 base.py:909(__len__)
      146    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       18    0.000    0.000    0.001    0.000 managers.py:2246(_stack_arrays)
       31    0.000    0.000    0.001    0.000 computation.py:625(unified_dim_sizes)
       30    0.000    0.000    0.001    0.000 dtypes.py:93(get_fill_value)
       93    0.000    0.000    0.001    0.000 common.py:536(is_string_dtype)
     2461    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
       12    0.000    0.000    0.001    0.000 core.py:685(chunks)
        1    0.000    0.000    0.001    0.001 parser.py:1(<module>)
      617    0.000    0.000    0.000    0.000 variables.py:191(pop_to)
        1    0.000    0.000    0.000    0.000 arraylike.py:192(__sub__)
       53    0.000    0.000    0.000    0.000 generic.py:6284(__getattr__)
     1447    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      258    0.000    0.000    0.000    0.000 inspect.py:175(get_annotations)
      322    0.000    0.000    0.000    0.000 threading.py:293(_is_owned)
       10    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        4    0.000    0.000    0.000    0.000 base.py:5455(append)
      475    0.000    0.000    0.000    0.000 threading.py:278(__enter__)
       73    0.000    0.000    0.000    0.000 indexing.py:1476(__array__)
     1895    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        2    0.000    0.000    0.000    0.000 __init__.py:701(lookup)
        1    0.000    0.000    0.000    0.000 parser.py:139(parse_implicit_document_start)
        1    0.000    0.000    0.000    0.000 arraylike.py:216(__floordiv__)
        1    0.000    0.000    0.000    0.000 synchronize.py:193(__init__)
      150    0.000    0.000    0.000    0.000 indexing.py:207(expanded_indexer)
        2    0.000    0.000    0.000    0.000 __init__.py:707(__init__)
        8    0.000    0.000    0.000    0.000 concat.py:318(process_subset_opt)
        1    0.000    0.000    0.000    0.000 events.py:1(<module>)
      120    0.000    0.000    0.000    0.000 concat.py:544(ensure_common_dims)
     1389    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 variable.py:2858(_broadcast_compat_data)
      574    0.000    0.000    0.000    0.000 utils.py:106(is_dict_like)
        1    0.000    0.000    0.000    0.000 thread.py:1(<module>)
      122    0.000    0.000    0.000    0.000 pathlib.py:1158(__init__)
       37    0.000    0.000    0.000    0.000 __init__.py:1008(__getitem__)
        1    0.000    0.000    0.000    0.000 datetimes.py:149(should_cache)
       15    0.000    0.000    0.000    0.000 constructor.py:132(construct_mapping)
       54    0.000    0.000    0.000    0.000 numeric.py:136(ones)
        5    0.000    0.000    0.000    0.000 indexing.py:2632(check_bool_indexer)
        1    0.000    0.000    0.000    0.000 config.py:500(collect)
      289    0.000    0.000    0.000    0.000 alignment.py:906(is_alignable)
      323    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 managers.py:2259(_consolidate)
       20    0.000    0.000    0.000    0.000 computation.py:448(<genexpr>)
        1    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
        1    0.000    0.000    0.000    0.000 common.py:304(_get_filepath_or_buffer)
       68    0.000    0.000    0.000    0.000 numeric.py:67(zeros_like)
       33    0.000    0.000    0.000    0.000 alignment.py:276(find_matching_unindexed_dims)
       48    0.000    0.000    0.000    0.000 _dtype.py:346(_name_get)
        1    0.000    0.000    0.000    0.000 common.py:441(set_dimensions)
       13    0.000    0.000    0.000    0.000 cloudpickle.py:1196(_function_reduce)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
      134    0.000    0.000    0.000    0.000 utils.py:273(_is_ascii)
     1321    0.000    0.000    0.000    0.000 _parser.py:254(get)
       58    0.000    0.000    0.000    0.000 _methods.py:61(_all)
      168    0.000    0.000    0.000    0.000 __init__.py:457(_replace)
        9    0.000    0.000    0.000    0.000 indexes.py:1698(indexes_equal)
        2    0.000    0.000    0.000    0.000 _version.py:1(<module>)
       30    0.000    0.000    0.000    0.000 dataset.py:2715(_validate_indexers)
       67    0.000    0.000    0.000    0.000 std.py:1446(format_dict)
       15    0.000    0.000    0.000    0.000 computation.py:391(_as_variables_or_variable)
        4    0.000    0.000    0.000    0.000 base.py:5491(_concat)
       76    0.000    0.000    0.000    0.000 base.py:609(_dtype_to_subclass)
        2    0.000    0.000    0.000    0.000 __init__.py:678(children)
      114    0.000    0.000    0.000    0.000 common.py:137(is_object_dtype)
       36    0.000    0.000    0.000    0.000 managers.py:1012(iget)
     2451    0.000    0.000    0.000    0.000 core.py:505(attrs)
        1    0.000    0.000    0.000    0.000 operator.py:1(<module>)
       20    0.000    0.000    0.000    0.000 utils.py:514(__getitem__)
       92    0.000    0.000    0.000    0.000 constructor.py:67(construct_object)
      824    0.000    0.000    0.000    0.000 indexing.py:304(__init__)
       13    0.000    0.000    0.000    0.000 cloudpickle.py:228(_should_pickle_by_reference)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1681(path_hook_for_FileFinder)
      141    0.000    0.000    0.000    0.000 duck_array_ops.py:208(astype)
       80    0.000    0.000    0.000    0.000 core.py:660(get_axis_num)
        1    0.000    0.000    0.000    0.000 fnmatch.py:38(_compile_pattern)
       25    0.000    0.000    0.000    0.000 utils.py:430(<lambda>)
       26    0.000    0.000    0.000    0.000 datetimes.py:2428(maybe_convert_dtype)
       12    0.000    0.000    0.000    0.000 netCDF4_.py:493(encode_variable)
     1188    0.000    0.000    0.000    0.000 _parser.py:164(__getitem__)
       59    0.000    0.000    0.000    0.000 generic.py:6236(__finalize__)
      122    0.000    0.000    0.000    0.000 __init__.py:179(sub)
       36    0.000    0.000    0.000    0.000 algorithms.py:280(_check_object_for_strings)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       72    0.000    0.000    0.000    0.000 common.py:633(is_integer_dtype)
       97    0.000    0.000    0.000    0.000 common.py:1198(is_bool_dtype)
      347    0.000    0.000    0.000    0.000 std.py:231(__call__)
       21    0.000    0.000    0.000    0.000 numeric.py:2378(array_equal)
        4    0.000    0.000    0.000    0.000 dataset.py:5731(drop_vars)
       80    0.000    0.000    0.000    0.000 queue.py:97(empty)
        1    0.000    0.000    0.000    0.000 base.py:1045(astype)
        3    0.000    0.000    0.000    0.000 __init__.py:355(namedtuple)
       67    0.000    0.000    0.000    0.000 std.py:186(__format__)
        1    0.000    0.000    0.000    0.000 callbacks.py:1(<module>)
       30    0.000    0.000    0.000    0.000 fromnumeric.py:2322(any)
        1    0.000    0.000    0.000    0.000 serializer.py:1(<module>)
      150    0.000    0.000    0.000    0.000 hashing.py:73(hash_buffer)
        6    0.000    0.000    0.000    0.000 __init__.py:299(loads)
      2/1    0.000    0.000    0.000    0.000 {built-in method _operator.floordiv}
      140    0.000    0.000    0.000    0.000 indexes.py:1506(get_unique)
       19    0.000    0.000    0.000    0.000 coordinates.py:336(_construct_direct)
       15    0.000    0.000    0.000    0.000 parser.py:422(parse_block_mapping_first_key)
      171    0.000    0.000    0.000    0.000 indexing.py:766(_outer_to_numpy_indexer)
        1    0.000    0.000    0.000    0.000 synchronize.py:121(_make_name)
       81    0.000    0.000    0.000    0.000 generic.py:278(__init__)
      258    0.000    0.000    0.000    0.000 inspect.py:747(unwrap)
        1    0.000    0.000    0.000    0.000 timedeltas.py:632(__floordiv__)
       10    0.000    0.000    0.000    0.000 function_base.py:24(linspace)
      120    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       75    0.000    0.000    0.000    0.000 common.py:1163(is_float_dtype)
     1781    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      186    0.000    0.000    0.000    0.000 {built-in method numpy.array}
     1858    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        5    0.000    0.000    0.000    0.000 pc2tsf_profiler.py:24(calcFrequencyArray)
       35    0.000    0.000    0.000    0.000 sorting.py:165(maybe_lift)
        5    0.000    0.000    0.000    0.000 function_base.py:5369(insert)
        1    0.000    0.000    0.000    0.000 loader.py:33(__init__)
      137    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.000    0.000 plugins.py:84(set_missing_parameters)
        1    0.000    0.000    0.000    0.000 {built-in method _operator.sub}
      850    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        4    0.000    0.000    0.000    0.000 typing.py:487(__getitem__)
       62    0.000    0.000    0.000    0.000 merge.py:164(_assert_prioritized_valid)
       80    0.000    0.000    0.000    0.000 pydevd.py:1596(get_internal_queue_and_event)
      122    0.000    0.000    0.000    0.000 pathlib.py:358(__init__)
       68    0.000    0.000    0.000    0.000 coordinates.py:94(__iter__)
      201    0.000    0.000    0.000    0.000 scanner.py:135(get_token)
        4    0.000    0.000    0.000    0.000 typing.py:666(Union)
       25    0.000    0.000    0.000    0.000 common.py:97(is_bool_indexer)
      775    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       10    0.000    0.000    0.000    0.000 conventions.py:309(_update_bounds_attributes)
        1    0.000    0.000    0.000    0.000 datetimelike.py:1422(__sub__)
        1    0.000    0.000    0.000    0.000 emitter.py:31(Emitter)
      142    0.000    0.000    0.000    0.000 duck_array_ops.py:218(asarray)
        1    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
      168    0.000    0.000    0.000    0.000 _collections.py:28(parse)
       10    0.000    0.000    0.000    0.000 coordinates.py:834(__getitem__)
        2    0.000    0.000    0.000    0.000 netCDF4_.py:479(set_dimension)
     2408    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      870    0.000    0.000    0.000    0.000 core.py:437(dtype)
        8    0.000    0.000    0.000    0.000 cast.py:123(maybe_convert_platform)
        5    0.000    0.000    0.000    0.000 utils.py:419(check_array_indexer)
      316    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
      387    0.000    0.000    0.000    0.000 merge.py:584(merge_attrs)
        1    0.000    0.000    0.000    0.000 timedeltas.py:510(_scalar_divlike_op)
       44    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 scanner.py:46(Scanner)
        3    0.000    0.000    0.000    0.000 plugins.py:52(detect_parameters)
     1195    0.000    0.000    0.000    0.000 scanner.py:279(stale_possible_simple_keys)
     3254    0.000    0.000    0.000    0.000 reader.py:87(peek)
        1    0.000    0.000    0.000    0.000 conventions.py:743(encode_dataset_coordinates)
      884    0.000    0.000    0.000    0.000 file_manager.py:169(_optional_lock)
       46    0.000    0.000    0.000    0.000 base.py:5323(__contains__)
      362    0.000    0.000    0.000    0.000 locks.py:66(__exit__)
        5    0.000    0.000    0.000    0.000 std.py:686(_decr_instances)
        5    0.000    0.000    0.000    0.000 generic.py:1532(__neg__)
        5    0.000    0.000    0.000    0.000 frame.py:5242(_sanitize_column)
       73    0.000    0.000    0.000    0.000 scanner.py:1311(scan_plain_spaces)
       18    0.000    0.000    0.000    0.000 variables.py:61(__init__)
      132    0.000    0.000    0.000    0.000 functoolz.py:196(__init__)
       12    0.000    0.000    0.000    0.000 netCDF4_.py:128(_encode_nc4_variable)
      312    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       25    0.000    0.000    0.000    0.000 function_base.py:1461(interp)
      172    0.000    0.000    0.000    0.000 frozen.py:76(__getitem__)
        1    0.000    0.000    0.000    0.000 composer.py:1(<module>)
       13    0.000    0.000    0.000    0.000 cloudpickle.py:264(_lookup_module_and_qualname)
     1268    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       90    0.000    0.000    0.000    0.000 variable.py:672(<genexpr>)
      430    0.000    0.000    0.000    0.000 common.py:1590(<genexpr>)
        7    0.000    0.000    0.000    0.000 index_tricks.py:326(__getitem__)
      314    0.000    0.000    0.000    0.000 base.py:206(is_dask_collection)
       37    0.000    0.000    0.000    0.000 delayed.py:59(unpack_collections)
       32    0.000    0.000    0.000    0.000 cast.py:1156(maybe_infer_to_datetimelike)
      541    0.000    0.000    0.000    0.000 enum.py:709(__call__)
       15    0.000    0.000    0.000    0.000 dataarray.py:838(_item_key_to_dict)
        7    0.000    0.000    0.000    0.000 variables.py:148(lazy_elemwise_func)
       37    0.000    0.000    0.000    0.000 delayed.py:699(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:183(dumps)
      362    0.000    0.000    0.000    0.000 locks.py:63(__enter__)
       27    0.000    0.000    0.000    0.000 config.py:145(_get_option)
       42    0.000    0.000    0.000    0.000 scanner.py:545(fetch_value)
        1    0.000    0.000    0.000    0.000 datetimes.py:314(_convert_listlike_datetimes)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
       44    0.000    0.000    0.000    0.000 datetimes.py:304(_simple_new)
       19    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.ndarray' objects}
      354    0.000    0.000    0.000    0.000 copy.py:231(_keep_alive)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
        6    0.000    0.000    0.000    0.000 decoder.py:332(decode)
      150    0.000    0.000    0.000    0.000 hashing.py:63(_hash_sha1)
       21    0.000    0.000    0.000    0.000 typing.py:175(_type_check)
      371    0.000    0.000    0.000    0.000 merge.py:337(append)
        1    0.000    0.000    0.000    0.000 datetimelike.py:1126(_sub_datetimelike_scalar)
      328    0.000    0.000    0.000    0.000 indexing.py:1305(__init__)
        3    0.000    0.000    0.000    0.000 construction.py:769(_try_cast)
        1    0.000    0.000    0.000    0.000 config.py:248(collect_env)
       76    0.000    0.000    0.000    0.000 composer.py:88(compose_scalar_node)
     1067    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 context.py:1(<module>)
       36    0.000    0.000    0.000    0.000 frame.py:678(_constructor_sliced_from_mgr)
        1    0.000    0.000    0.000    0.000 _compatibility.py:1(<module>)
      287    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 datetimes.py:320(__new__)
       50    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
       30    0.000    0.000    0.000    0.000 base.py:5437(_can_hold_identifiers_and_holds_name)
        3    0.000    0.000    0.000    0.000 managers.py:2276(_merge_blocks)
       50    0.000    0.000    0.000    0.000 dataarray.py:951(xindexes)
      2/1    0.000    0.000    0.000    0.000 _monitor.py:30(__init__)
        1    0.000    0.000    0.000    0.000 series.py:5773(isna)
      317    0.000    0.000    0.000    0.000 threading.py:287(_release_save)
      168    0.000    0.000    0.000    0.000 __init__.py:228(matches)
      529    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      100    0.000    0.000    0.000    0.000 fromnumeric.py:588(transpose)
1584/1489    0.000    0.000    0.000    0.000 utils.py:614(dtype)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       80    0.000    0.000    0.000    0.000 threading.py:606(clear)
        2    0.000    0.000    0.000    0.000 __init__.py:685(zip_children)
        5    0.000    0.000    0.000    0.000 generic.py:2077(__contains__)
      344    0.000    0.000    0.000    0.000 base.py:1765(_get_names)
   156/33    0.000    0.000    0.000    0.000 _parser.py:174(getwidth)
       25    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
      2/1    0.000    0.000    0.000    0.000 threading.py:952(start)
       16    0.000    0.000    0.000    0.000 managers.py:1764(is_consolidated)
       40    0.000    0.000    0.000    0.000 dataarray.py:480(_replace)
     17/3    0.000    0.000    0.000    0.000 config.py:83(update)
        1    0.000    0.000    0.000    0.000 generic.py:8693(isna)
     1308    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:665(_classify_pyc)
     2211    0.000    0.000    0.000    0.000 indexing.py:317(as_integer_or_none)
       28    0.000    0.000    0.000    0.000 generic.py:807(_set_axis)
        1    0.000    0.000    0.000    0.000 conventions.py:646(_encode_coordinates)
        1    0.000    0.000    0.000    0.000 config.py:645(update_defaults)
       32    0.000    0.000    0.000    0.000 common.py:301(maybe_iterable_to_list)
      928    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 dataclasses.py:760(_get_field)
        1    0.000    0.000    0.000    0.000 datetimelike.py:1158(_sub_datetimelike)
