dataset,entry_title*,survey,start_time,end_time,project,description,platform,platformtype,pulsetype,RAW_files,WORK_files,LSSS_files,GRIDDED_files,CALIBRATION_file,METADATA_files,datacenter*,datacenter_person*,originating_institution*,originating_institution_person*,use_constraints*,access_constraints*,location*,iso_topic_category*,gcmd_science_keywords*,southern_latitude*,northern_latitude*,western_longitude*,eastern_longitude*,dataset_progress*,version,url_type*,url*
T2020007,Test set for the CRIMAC preprocessor,S2020821,2020,,CRIMAC,Sand eel; /data/cruise_data/2020/S2020821_PEROS_3317,EROS_3317,Hull mounted,CW,/data/crimac/2020/T2020007/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2020/T2020007/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2020008,Test set for the CRIMAC preprocessor,NUUKWBAT,2020,,CRIMAC,DTU aquat test set,,wbat,,,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,DTU aqua,Kjetil Thorvaldsen,proprietary,proprietary,,,,,,,,,,,
T2021001,"Test data: 500 salmon in netpen in Matre with closed surface. Decreasing air in swimbladder. Measured with small CRIMAC echo sounder rig with 3 echo sounders, and two single 200 kHz echo sounders.",D2021003,2021,,CRIMAC,The full data set is found at: \\ces\crimac\2021\D2021003,MATRE,gimbal under net pen,FM,/data/crimac/2021/T2021001/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2021/T2021001/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2021002,Test data: Mesopelagic organisms measured with Messor,S2021105,2021,,MEESO,The full data set is found at: \\ces.imr.no\cruise_data\2021\S2021105_PGOSARS_4174\OBSERVATION_PLATFORMS\MESSOR\MESSOR_EK80_RAWDATA\167,GOSARS_4174,MESSOR,FM,/data/crimac/2021/T2021002/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2021/T2021002/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Webjørn Melle,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2021003,Test data: Mackerel measured with ship mounted echo sounders on fishing vessel MS LIBAS during fisheries,S2021852,2021,,CRIMAC,The full data set is found at: \\ces.hi.no\cruise_data\2021\S2021852_PLIBAS_3303,LIBAS_3303,Hull mounted,FM,/data/crimac/2021/T2021003/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2021/T2021003/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Hector Pena,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2021004,Test data: Bluefin tuna mesured with ship mounted echo sounders,S2021105,2021,,Tuna,The full data set is found at: \\ces.hi.no\cruise_data\2021\S2021815_PMYTTERSTAD_9103\ACOUSTIC\EK80\EK80_ORIGINALRAWDATA,YTTERSTAD_9103,Hull mounted,FM,/data/crimac/2021/T2021004/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2021/T2021004/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Hector Pena,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2021005,Test data: Haddock and whiting measured from ship mounted echo sounders on Kings Bay during sandeel survey,S2021847,2021,,CRIMAC,The full data set is found at: \\ces.hi.no\cruise_data\2021\staging\S2021847_PKINGSBAY_3223\EXPERIMENTS\EK80\EK80_RAWDATA,KINGSBAY_3223,Hull mounted,FM,/data/crimac/2021/T2021005/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2021/T2021005/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2023001,Test data: Data from hywind tampen. Earlier name D2023001,S2023001004,2023,,windsys,The full data set is found at: \\ces.hi.no\cruise_data\2023\S2023001004_PGOSARS_4174,GOSARS_4174,MESSOR,FM,/data/crimac/2023/T2023001/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2023/T2023001/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Anne Christine Utne Palm,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2023002,"Test data: Original - unsplitted data wiht 4 pulsetypes - 50 salmon in netpen in Austevoll measured with CRIMAC echo sounder rig with 5 echo sounders for size estimation, average 880 g 415 cm",D2023004,2023,,CRIMAC,The full data set is found at: \\ces\crimac\2023\D2023004\ACOUSTIC\EK80\EK80_RAWDATA,AUSTEVOLL,gimbal under net pen,FM,/data/crimac/2023/T2023002/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2023/T2023002/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2023003,Test data: FHF sizing project,D2023002,2023,,FHF,"The full data set is found at: /data/crimac/2023/D2023002 , \\ces.hi.no\crimac\2023\D2023002",LIBAS_3303,Pole mounted,FM,/data/crimac/2023/T2023003/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2023/T2023003/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Hector Pena,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2023004,Test data: Capelin measured with ship mounted echo sounder,S2023002005,2023,,skreitokt,The full data set is found at: \\ces\cruise_data\2023\S2023002005_PJOHANHJORT_1019\EXPERIMENTS\EK80_Bredbåndsdata,JOHANHJORTH_1019,Hull mounted,FM,/data/crimac/2023/T2023004/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2023/T2023004/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Edvin Fuglebakk,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2023005,Test data: Cod measured with ship mounted echo sounder,S2023002005,2023,,skreitokt,The full data set is found at: \\ces\cruise_data\2023\S2023002005_PJOHANHJORT_1019\EXPERIMENTS\EK80_Bredbåndsdata,JOHANHJORTH_1019,Hull mounted,FM,/data/crimac/2023/T2023005/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac/2023/T2023005/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Edvin Fuglebakk,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2023006,"Test data: Splitted data - CW - 50 salmon in netpen in Austevoll measured with CRIMAC echo sounder rig with 5 echo sounders for size estimation, average 880 g 415 cm",D2023004,2023,,CRIMAC,The full data set is found at: \\ces\crimac\2023\D2023004\ACOUSTIC\EK80\EK80_RAWDATA,AUSTEVOLL,gimbal under net pen,CW,/data/crimac-scratch/2023/T2023006/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac-scratch/2023/T2023006/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2023007,"Test data: Splitted data - FM fast 2 ms - 50 salmon in netpen in Austevoll measured with CRIMAC echo sounder rig with 5 echo sounders for size estimation, average 880 g 415 cm",D2023004,2023,,CRIMAC,The full data set is found at: \\ces\crimac\2023\D2023004\ACOUSTIC\EK80\EK80_RAWDATA,AUSTEVOLL,gimbal under net pen,FM,/data/crimac-scratch/2023/T2023007/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac-scratch/2023/T2023007/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2023008,"Test data: Splitted data - FM fast 4 ms - 50 salmon in netpen in Austevoll measured with CRIMAC echo sounder rig with 5 echo sounders for size estimation, average 880 g 415 cm",D2023004,2023,,CRIMAC,The full data set is found at: \\ces\crimac\2023\D2023004\ACOUSTIC\EK80\EK80_RAWDATA,AUSTEVOLL,gimbal under net pen,FM,/data/crimac-scratch/2023/T2023008/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac-scratch/2023/T2023008/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2023009,"Test data: Splitted data - FM slow 2 ms - 50 salmon in netpen in Austevoll measured with CRIMAC echo sounder rig with 5 echo sounders for size estimation, average 880 g 415 cm",D2023004,2023,,CRIMAC,The full data set is found at: \\ces\crimac\2023\D2023004\ACOUSTIC\EK80\EK80_RAWDATA,AUSTEVOLL,gimbal under net pen,FM,/data/crimac-scratch/2023/T2023009/ACOUSTIC/EK80/EK80_RAWDATA,/data/crimac-scratch/2023/T2023009/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
Uferdig,CRIMAC Salmon experiment treatments Freq 200 kHz,,2021,,CRIMAC,"Raw data, CW, FM 3 echo sounders in 9 netpens, 3 echo sounders in 3 different netpens for the sme treatment. After 3 days the exho sounders were moved to 3 new netpens with a different treatment.  3 different treatments regarding access to air; control, bubbles, air dome",,,,,,,,,,,,,,,,,,,,,,,,,,
Uferdig,CRIMAC Salmon experiment treatments Control CW Freq 200 kHz,,2021,,CRIMAC,Control CW  Freq 200 kHz,MATRE,gimbal under net pen,,/data/crimac/2021/,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
Uferdig,CRIMAC Salmon experiment treatments Control FM Freq 200 kHz,,2021,,CRIMAC,Control FM Freq 200 kHz,MATRE,gimbal under net pen,,/data/crimac/2021/,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
Uferdig,CRIMAC Salmon experiment treatments Bubbles FM Freq 200 kHz,,2021,,CRIMAC,Bubbles FM 200 kHz,MATRE,gimbal under net pen,,/data/crimac/2021/,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
Uferdig,CRIMAC Salmon experiment treatments Bubbles CW Freq 200 kHz,,2021,,CRIMAC,Bubbles CW 200 kHz,MATRE,gimbal under net pen,,/data/crimac/2021/,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
Uferdig,CRIMAC Salmon experiment treatments Air Dome FM Freq 200 kHz,,2021,,CRIMAC,Air Dome FM 200 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,
Uferdig,CRIMAC Salmon experiment treatments Air Dome CW Freq 200 kHz,,2021,,CRIMAC,Air Dome CW 200 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mackerel,S2016116,2016,,CRISP,"Rokas: multiplexing EK60/EK80 on mackerel schools, one FM channel at the time. Good data log present, see  ""Multiplexing log""	",GOSARS_4174,Hull mounted,,/data/cruise_data/2016/S2016116_PGOSARS_4174/ACOUSTIC_DATA/EK80/survey,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Mackerel,S2016116,2016,,CRISP,"Rokas: Good lateral aspect mackerel 34-260kHz BB data, single targets. Some dorsal aspect data. One FM band/chanel at the time, no sequential or simultaneous ping. 10 probe deployments targeting mackerel. Good paper log of data collection",GOSARS_4174,TS_PROBE,,/data/cruise_data/2016/S2016116_PGOSARS_4174/OBSERVATION_PLATFORMS/TS_PROBE/EK80-DATA,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Mackerel,S2016116,2016,,CRISP,Rokas: lateral 55-90 and 160-260 KHz BB data on single targets of mackerel. GoPro videos. Calibrated. Few data though,GOSARS_4174,WBAT,,/data/cruise_data/2016/S2016116_PGOSARS_4174/OBSERVATION_PLATFORMS/WBAT_BUOY/DEPLOYMENT001/RAW,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Mackerel,S2016116,2016,,CRISP,,GOSARS_4174,WBAT,,/data/cruise_data/2016/S2016116_PGOSARS_4174/OBSERVATION_PLATFORMS/WBAT_BUOY/DEPLOYMENT002/RAW,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Mackerel,S2016116,2016,,CRISP,,GOSARS_4174,WBAT,,/data/cruise_data/2016/S2016116_PGOSARS_4174/OBSERVATION_PLATFORMS/WBAT_BUOY/DEPLOYMENT003/RAW,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Mackerel,S2016116,2016,,CRISP,,GOSARS_4174,WBAT,,/data/cruise_data/2016/S2016116_PGOSARS_4174/OBSERVATION_PLATFORMS/WBAT_BUOY/DEPLOYMENT004/RAW,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Mackerel,S2016116,2016,,CRISP,,GOSARS_4174,WBAT,,/data/cruise_data/2016/S2016116_PGOSARS_4174/OBSERVATION_PLATFORMS/WBAT_BUOY/DEPLOYMENT005/RAW,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Mackerel,S2016116,2016,,CRISP,"Rokas: drop-keel mounted 3deg transducer. Abundant 200FM data on mackerel at various transducer angles from lateral to dorsal, mostly schools, some single target. Calibrated. Good data long present, see ""Multiplexing log""",GOSARS_4174,ES-200-3C,,<<data does not seem to be in the tokt directory>>,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Cod eggs and larvae,S2016004,2016,,,WBAT pigyback on Hugin. 160-260kHz BB backscatter of cod eggs. Upwards looking transducer,HUSVERDRUPII_1007,TS_PROBE,,/data/cruise_data/2016/S2016004_PHUSVERDRUPII_1007/OBSERVATION_PLATFORMS/HUGIN,,,,,/data/cruise_data/2016/S2016004_PHUSVERDRUPII_1007/CRUISE_DOCUMENTS/OTHER_DOCUMENTS/LOGBOOK,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Cod eggs and larvae,S2016004,2016,,,280-450kHz BB backscatter of individual cod eggs. Buoy 60m deep. Upwards oriented beam. Probably best data of survey. Gavin initiated a paper. Not finished,HUSVERDRUPII_1007,METAS Buoy,,/data/cruise_data/2016/S2016004_PHUSVERDRUPII_1007/OBSERVATION_PLATFORMS/METAS BUOY,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Cod eggs and larvae,S2016004,2016,,,280-450kHz BB backscatter of cod eggs. Towed body. Upwards oriented beam. Lazer planton counter installed (UVP?) ,HUSVERDRUPII_1007,METAS Towed body,,/data/cruise_data/2016/S2016004_PHUSVERDRUPII_1007/OBSERVATION_PLATFORMS/METAS TOWBODY,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Dorsal aspect TS of herring,S2017116,2017,,,"Dorsal aspect herring, single targets from ship, 70/120/200 FM. Sequential pinging. Comment: ""Decent amount of TS measurements""",GOSARS_4174,Hull mounted,,/data/cruise_data/2017/S2017116_PGOSARS_4174/ACOUSTIC_DATA/EK60/EK60_MULTIPLEX,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Dorsal aspect TS of herring,S2017116,2017,,,"Dorsal aspect herring, single targets from ship, 70/120/200 FM. Sequential pinging. Comment: ""Decent amount of TS measurements""",GOSARS_4174,Hull mounted,,/data/cruise_data/2017/S2017116_PGOSARS_4174/ACOUSTIC_DATA/EK60_EK80_MULTIPLEX/EK60,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Dorsal aspect TS of herring,S2017116,2017,,,"Dorsal aspect herring, single targets from ship, 70/120/200 FM. Sequential pinging. Comment: ""Decent amount of TS measurements""",GOSARS_4174,Hull mounted,,/data/cruise_data/2017/S2017116_PGOSARS_4174/ACOUSTIC_DATA/EK80,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Dorsal aspect TS of herring,S2017116,2017,,,"Dorsal aspect herring, single targets. 38/70/120/200 FM. Sequential pinging. Good single target data - not sure. herring 25-32cm. Mesopelagic vertical profiling, several stations.",GOSARS_4174,TS_PROBE,,/data/cruise_data/2017/S2017116_PGOSARS_4174/OBSERVATION_PLATFORMS/TS_PROBE/TS_PROBE_EK80_RAWDATA,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Lateral aspect TS of herring,S2017116,2017,,,"lateral aspect 70/200FM. WBAT 30m deep under drifting buoy for herring. Dorsal aspect 38/70FM on Blue whiting, 300m deep. Data quality not known/not cheked. Mesopelagic probing with WBAT mounted on CTD in fjords, multiple deployments",GOSARS_4174,WBAT,,/data/cruise_data/2017/S2017116_PGOSARS_4174/OBSERVATION_PLATFORMS/WBAT/RAWDATA,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Herring,?,"2017, 2018",,,BB TS of herring. 38FM and 70FM. Single targets of spawning state herring. No good data log,,WBAT,,<<server location unknown. Rokas has a disc copy>> -> /data/crimac/E201700x/ACOUSTIC/EK80/EK80_RAWDATA/,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Herring,,2018,,CRISP,Rokas: I think there is various BB ship-mounted data on herring schools and layers. Sequential pinging. Had no time for detailed checks,GOSARS_4174,Hull mounted,,/data/cruise_data/2018/S2018113_PGOSARS_4174/ACOUSTIC/EK80/EK80_RAWDATA,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Herring,,2018,,CRISP,"Rokas: Substantial amount of lateral aspect FM data on resolved herring. 45-260 kHz, NOT simultaneous FM ping. Fish is measured for length/thickenss/ height. AcoSize data - lots of high ping rate single target data, one band at the time, for BB r(f) sizing.",GOSARS_4174,TS_PROBE,,<<server location unknown>>,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Herring,,2018,,CRISP,Rokas: herring avoidance experiments with MS70+Kayak+WBAT+Tuna Buoy. All  CW? Not sure.,GOSARS_4174,KAYAK_DRONE,,/data/cruise_data/2018/S2018113_PGOSARS_4174/OBSERVATION_PLATFORM/KAYAK_DRONE/ACOUSTIC/EK60/EK60_RAWDATA,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Herring,,2018,,CRISP,,GOSARS_4174,WBAT,,<<server location unknown>>,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Herring,,2018,,CRISP,,GOSARS_4174,Tuna Buoy,,/data/cruise_data/2018/S2018113_PGOSARS_4174/OBSERVATION_PLATFORM/2018-11-09 Tuna Buoy GO Sars,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Antarctic krill survey,S2019701,2019,,,"Rokas: Several days long transect with Ship in FM mode. No trawling, sampling",KRONPRINSHAAKON_9566,Hull mounted,,/data/cruise_data/2019/S2019701_PKRONPRINSHAAKON_9566/ACOUSTIC/EK80/EK80_ORIGINALRAWDATA/EK80DK,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Antarctic krill survey,S2019701,2019,,,"Rokas: Opurtunistic FM recordings during trawling - hope, single krill targets. Some data on agregated krill. Not much",KRONPRINSHAAKON_9566,Hull mounted,,,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Antarctic krill survey,S2019701,2019,,,"5 nortek and WBAT moorings. one month of data. 300m deep, looking up.",KRONPRINSHAAKON_9566,LANDER,,/data/cruise_data/2019/S2019701_PKRONPRINSHAAKON_9566/OBSERVATION_PLATFORMS/MOORINGS/MOORING 1/SIGNATURE100/CONVERTED_TO_EK60,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Antarctic krill survey,S2019701,2019,,,"5 nortek and WBAT moorings. one month of data. 300m deep, looking up.",KRONPRINSHAAKON_9566,LANDER,,/data/cruise_data/2019/S2019701_PKRONPRINSHAAKON_9566/OBSERVATION_PLATFORMS/MOORINGS/MOORING 2/WBAT/RAWDATA/RAW_POS_CTD_ADDED,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Antarctic krill survey,S2019701,2019,,,"5 nortek and WBAT moorings. one month of data. 300m deep, looking up.",KRONPRINSHAAKON_9566,LANDER,,/data/cruise_data/2019/S2019701_PKRONPRINSHAAKON_9566/OBSERVATION_PLATFORMS/MOORINGS/MOORING 3/SIGNATURE100/CONVERTED_TO_EK60,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Antarctic krill survey,S2019701,2019,,,"5 nortek and WBAT moorings. one month of data. 300m deep, looking up.",KRONPRINSHAAKON_9566,LANDER,,,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Antarctic krill survey,S2019701,2019,,,"5 nortek and WBAT moorings. one month of data. 300m deep, looking up.",KRONPRINSHAAKON_9566,LANDER,,,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Antarctic krill survey,S2019701,2019,,,Rokas: 160-260 kHz data on Antarctic krill. Drop transducer. Single targets and school. Not much data though. Gavin + CISIRO has better data from own 2020 survey and are publishing such now,KRONPRINSHAAKON_9566,Drop transducer,,/data/cruise_data/2019/S2019701_PKRONPRINSHAAKON_9566/OBSERVATION_PLATFORMS/LOWERED_TRANSDUCER/RAW/data,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,mesopelagic fish,,2019,,,Babak: write a comment. Ship run FM? reduced power? all transducers on? bio sampling yes or no,KRONPRINSHAAKON_9566,Hull mounted,,<<server location unknown>>,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Sandeel?,S2020821,2020,,CRIMAC,Tonje: 70 kHz in FM for much of the survey. Some measruements with both 120 and 70 kHz. ,GOSARS_4174,Hull mounted,,/data/cruise_data/2020/S2020821_PEROS_3317/EXPERIMENTS/EK80 som FM for 70 og 120 kHz samtidig,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Sandeel?,S2020821,2020,,CRIMAC,Tonje: 200 kHz wih 3 deg opening angle. Measurements on sandeel schools for a few hours,GOSARS_4174,Drop transducer,,/data/cruise_data/2020/S2020821_PEROS_3317/EXPERIMENTS/ES200-3C - med WBT - ekstern - over ripa,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,Sandeel?,S2020821,2020,,CRIMAC,Tonje: Measuements with EC150 with narrow beam. Saw striped sandeel schools (TS varying with behaviour affected by boat hitting waves?) ,GOSARS_4174,ADCP,,/data/cruise_data/2020/S2020821_PEROS_3317/EXPERIMENTS/EC150-3C - ADCP som EK80 ekkolodd,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,CRIMAC survey,S2020116,2020,,CRIMAC,Rokas: all survey in FM mode,GOSARS_4174,Hull mounted,,/data/cruise_data/2020/S2020116_PGOSARS_4174/ACOUSTIC/EK80/EK80_ORIGINALRAWDATA,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,CRIMAC survey,S2020116,2020,,CRIMAC,"Rokas: much BB data on herring, some on b.whiting, wingded snails. Great BB data on nor.krill. Simultaneous and sequential ping.  DORSAL aspect only. ",GOSARS_4174,TS_PROBE,,/data/cruise_data/2020/S2020116_PGOSARS_4174/OBSERVATION_PLATFORMS/TS_PROBE/TS_PROBE_EK80_RAWDATA/20201121,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
,CRIMAC survey,S2020116,2020,,CRIMAC,"Rokas: much BB data on herring, some on b.whiting, wingded snails. Great BB data on nor.krill. Simultaneous and sequential ping.  DORSAL aspect only. ",GOSARS_4174,TS_PROBE,,/data/cruise_data/2020/S2020116_PGOSARS_4174/OBSERVATION_PLATFORMS/TS_PROBE/TS_PROBE_EK80_RAWDATA/20201123,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
