dataset,entry_title*,survey,start_time,end_time,project,description,platform,platformtype,pulsetype,RAW_files,WORK_files,LSSS_files,GRIDDED_files,CALIBRATION_file,METADATA_files,datacenter*,datacenter_person*,originating_institution*,originating_institution_person*,use_constraints*,access_constraints*,location*,iso_topic_category*,gcmd_science_keywords*,southern_latitude*,northern_latitude*,western_longitude*,eastern_longitude*,dataset_progress*,version,url_type*,url*
D2021008,CRIMAC Salmon experiment closed surface FM net pen 14 Freq  200 kHz,,2021,,CRIMAC,Net pen 14 with 200 kHz FM,MATRE,gimbal under net pen,,/data/crimac/2021/D2021003/EXPERIMENTS/NETPEN_13_14_16_FREQ_200_kHz/NETPEN_14/FM/ACOUSTIC/EK80/EK80_RAWDATA,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2021009,CRIMAC Salmon experiment closed surface CW net pen 14 Freq  200 kHz,,2021,,CRIMAC,Net pen 14 with 200 kHz CW,MATRE,gimbal under net pen,,/data/crimac/2021/D2021003/EXPERIMENTS/NETPEN_13_14_16_FREQ_200_kHz/NETPEN_14/CW/ACOUSTIC/EK80/EK80_RAWDATA,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2021010,CRIMAC Salmon experiment closed surface FM net pen 13 Freq  200 kHz,,2021,,CRIMAC,Net pen 13 with 200 kHz FM,MATRE,gimbal under net pen,,/data/crimac/2021/D2021003/EXPERIMENTS/NETPEN_13_14_16_FREQ_200_kHz/NETPEN_13/FM/ACOUSTIC/EK80/EK80_RAWDATA,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2021011,CRIMAC Salmon experiment closed surface CW net pen 13 Freq  200 kHz,,2021,,CRIMAC,Net pen 13 with 200 kHz FM,MATRE,gimbal under net pen,,/data/crimac/2021/D2021003/EXPERIMENTS/NETPEN_13_14_16_FREQ_200_kHz/NETPEN_13/CW/ACOUSTIC/EK80/EK80_RAWDATA,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,,,,,,,,,,,,,,
D2023001,CRIMAC Salmon experiment Austevoll part 1 -50 fish,,2023,,CRIMAC,"15 m deep net pen with 50 salmon around 300 g. Echo sounder gimbal under netpen - unsplitted, 4 pulsetypes",AUSTEVOLL,gimbal under net pen,FM,/data/crimac/2023/D2023001/ACOUSTIC/EK80/EK80_RAWDATA,,,,,,,,,,,,,,,,,,,,,,
D2023002, FHF sizing project - mackerel,,2023,,FHF,"The full data set is found at: /data/crimac/2023/D2023002 , \\ces.hi.no\crimac\2023\D2023002",LIBAS_3303,pole mounted,,/data/crimac/2023/D2023002/ACOUSTIC/EK80/EK80_RAWDATA,,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Hector Pena,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
D2023003,CRIMAC Salmon experiment Austevoll part 2 -50 fish,,2023,,CRIMAC,"30 m deep net pen with 50 salmon around 880 g. Echo sounder gimbal inside netpen - unsplitted, 4 pulsetypes",AUSTEVOLL,gimbal inside net pen,,/data/crimac/2023/D2023003/ACOUSTIC/EK80/EK80_RAWDATA,/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
D2023004,CRIMAC Salmon experiment Austevoll part 2 -5000 fish,,2023,,CRIMAC,"30 m deep net pen with 5000 salmon around 880 g. Echo sounder gimbal inside netpen - unsplitted, 4 pulsetypes",AUSTEVOLL,gimbal inside net pen,,/data/crimac/2023/D2023004/ACOUSTIC/EK80/EK80_RAWDATA,/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
D2023005,CRIMAC Salmon experiment Austevoll part 3 -21 fish,,2023,,CRIMAC,"30 m deep net pen with 21 salmon around 1510 g. Echo sounder gimbal inside netpen - unsplitted, 4 pulsetypes",AUSTEVOLL,gimbal inside net pen,,/data/crimac/2023/D2023005/ACOUSTIC/EK80/EK80_RAWDATA,/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
D2023006,CRIMAC Salmon experiment Austevoll part 3 -5000 fish,,2023,,CRIMAC,"30 m deep net pen with 5000 salmon around 1800 g. Echo sounder gimbal inside netpen - unsplitted, 4 pulsetypes",AUSTEVOLL,gimbal inside net pen,,/data/crimac/2023/D2023006/ACOUSTIC/EK80/EK80_RAWDATA,/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
